,TrialNumber,Parameters,learning_rate,MAPE
0,1,8-1000-0.5,,0.08657142164188837
1,2,8-1000-0.1,,0.06775028267307608
2,3,8-1000-0.05,,0.0877807269133472
3,4,8-1000-0.01,,0.10297182973828783
4,5,8-1000-0.005,,0.09501820495848762
5,6,8-1000-0.001,,0.107783116612395
6,7,8-1000-0.0005,,0.0708310697107277
7,8,8-1000-0.0001,,0.06773631755007135
8,9,12-1000-0.5,,0.07765631313283666
9,10,12-1000-0.1,,0.07681648866675933
10,11,12-1000-0.05,,0.15529342801241836
11,12,12-1000-0.01,,0.07420303413559519
12,13,12-1000-0.005,,0.06484729612502971
13,14,12-1000-0.001,,0.07982393461678082
14,15,12-1000-0.0005,,0.06844971597113086
15,16,12-1000-0.0001,,0.07161956395038424
16,17,20-1000-0.5,,0.14592012662353057
17,18,20-1000-0.1,,0.13448708863350725
18,19,20-1000-0.05,,0.06573656391994061
19,20,20-1000-0.01,,0.07407975752726996
20,21,20-1000-0.005,,0.09142926289408786
21,22,20-1000-0.001,,0.06533968836588631
22,23,20-1000-0.0005,,0.06506935803957409
23,24,20-1000-0.0001,,0.0652221201650653
24,25,24-1000-0.5,,0.09277434620311953
25,26,24-1000-0.1,,0.07706356293086382
26,27,24-1000-0.05,,0.09216296783141376
27,28,24-1000-0.01,,0.06391449945358697
28,29,24-1000-0.005,,0.058351683356827146
29,30,24-1000-0.001,,0.07547958765691488
30,31,24-1000-0.0005,,0.06442112315407562
31,32,24-1000-0.0001,,0.08696934238281885
